Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Villas & maisons de luxe Casablanca,Polo à Casablanca,33.56170473792227,-7.630379283521052,Vente villa Polo Casablanca,6800000.0,"['762 m²', '8 Pièces', '6 Chambres']",4,762.0,8.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Franceville à Casablanca,33.56170473792227,-7.630379283521052,Vente appt à franceville casablanca,2000000.0,"['140 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', '5ème étage']",5,140.0,3.0,2.0,1.0,Bon état,5.0,15
Villas & maisons de luxe Casablanca,Polo à Casablanca,33.55884836108079,-7.617988586425781,Vente villa polo casablanca,8000000.0,"['799 m²', '7 Pièces', '4 Chambres', '2 Salles de bains']",4,799.0,7.0,4.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Longchamps (Hay Al Hanâa) à Casablanca,33.56170473792227,-7.630379283521052,Vente villa longchamps casablanca,11000000.0,"['600 m²', '7 Pièces', '4 Chambres', '2 Salles de bains']",4,600.0,7.0,4.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Polo à Casablanca,33.55884836108079,-7.617988586425781,Vente villa à Polo,17000000.0,"['1700 m²', '8 Pièces', '7 Chambres']",4,1700.0,8.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Casablanca,33.56170473792227,-7.630379283521052,Vente villa chantilly,22750000.0,"['1750 m²', '8 Pièces', '5 Chambres', '2 Salles de bains']",4,1750.0,8.0,5.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Vente villa ain diab,8000000.0,"['390 m²', '6 Pièces', '4 Chambres', '2 Salles de bains']",4,390.0,6.0,4.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,33.57243690885356,-7.657556533813477,Vente villa au Cil,7950000.0,"['450 m²', '7 Pièces', '5 Chambres']",4,450.0,7.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Casablanca,33.56170473792227,-7.630379283521052,Vente appt vide 2Mars,1820000.0,"['160 m²', '5 Pièces', '3 Chambres', '2 Salles de bains']",4,160.0,5.0,3.0,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Casablanca,33.57601248704883,-7.603912353515625,Vnte appt ghandi,1600000.0,"['87 m²', '3 Pièces', '2 Chambres']",4,87.0,3.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Vente appt oasis casablanca,2600000.0,"['128 m²', '5 Pièces', '3 Chambres', '2 Salles de bains']",4,128.0,5.0,3.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Casablanca,33.57601248704883,-7.603912353515625,Vente villa Route 'Azemour,7500000.0,"['325 m²', '6 Pièces', '3 Chambres']",4,325.0,6.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Casablanca,33.56170473792227,-7.630379283521052,Vente appt abdelmoulmen,2800000.0,"['243 m²', '5 Pièces', '3 Chambres']",4,243.0,5.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Triangle d'Or à Casablanca,33.56170473792227,-7.630379283521052,"Vente appt à triangle d, 'or casablanca",4700000.0,"['212 m²', '6 Pièces', '3 Chambres']",4,212.0,6.0,2.9211172498465316,2.306532663316583,Bon état,3.0,15
