Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
volkswagen,passat cc,2008,165000,diesel,8,automatique,5.0,dédouanée,non,excellent,False,False,False,False,False,123000
ford,fusion,2016,105000,diesel,8,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,160000
renault,kangoo,2012,225000,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,False,False,False,False,False,80300
volkswagen,golf 5,2009,52500,diesel,8,manuelle,5.0,dédouanée,non,bon,True,True,True,True,True,78000
bmw,serie 1,2012,195000,diesel,9,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,158000
hyundai,i 10,2010,115000,essence,6,automatique,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,67000
fiat,126,2014,7500,diesel,5,manuelle,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,74000
renault,megane 4,2018,57500,diesel,6,automatique,5.0,dédouanée,oui,excellent,True,True,True,True,True,165000
fiat,fiorino,2019,47500,diesel,5,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,True,True,102000
renault,clio,2018,125000,diesel,6,automatique,5.0,ww au maroc,non,non spécifié,True,True,True,True,True,123000
renault,14,2016,165000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,132000
renault,laguna,2008,2500,diesel,8,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,72000
volkswagen,golf 4,1999,32500,diesel,8,manuelle,5.0,dédouanée,non,non spécifié,True,True,True,True,True,68000
peugeot,bipper,2013,225000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,67000
mercedes-benz,220,2002,225000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,True,True,True,False,False,85000
renault,kangoo,2005,225000,diesel,7,manuelle,5.0,ww au maroc,oui,trés bon,True,False,False,False,True,62000
alfa romeo,giulietta,2013,275000,diesel,6,manuelle,5.0,non spécifié,non,non spécifié,False,False,False,False,False,100000
hyundai,tucson,2007,185000,diesel,8,manuelle,5.0,non spécifié,non,excellent,False,False,False,False,False,75000
mercedes-benz,250,1999,195000,diesel,9,automatique,5.0,dédouanée,oui,excellent,True,True,True,True,True,73000
peugeot,108,2018,52500,essence,6,manuelle,5.0,ww au maroc,non spécifié,excellent,False,False,False,False,False,87000
peugeot,308,2017,105000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,138000
ford,focus,2013,155000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,119000
dacia,duster,2018,67500,diesel,6,manuelle,5.0,non spécifié,non spécifié,excellent,True,True,True,False,True,146000
peugeot,tepee,2015,185000,diesel,6,manuelle,5.0,non spécifié,non,bon,True,True,True,False,False,105000
fiat,fiorino,2018,105000,diesel,5,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,98000
dacia,duster,2013,175000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,125000
citroen,berlingo,2012,195000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,False,90000
dacia,sandero,2011,225000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,False,False,False,67000
fiat,tipo,2018,62500,diesel,5,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,110000
volkswagen,passat,2004,275000,diesel,8,manuelle,5.0,importée neuve,oui,trés bon,True,True,True,True,True,60000
mercedes-benz,190,1991,2500,diesel,8,manuelle,3.0,dédouanée,non,pour piéces,False,False,True,False,False,66000
audi,a6,2007,27500,diesel,6,automatique,5.0,dédouanée,non spécifié,excellent,False,False,False,False,False,75000
peugeot,301,2013,225000,essence,7,manuelle,5.0,ww au maroc,non,trés bon,True,False,True,False,True,60000
fiat,doblo,2013,185000,diesel,5,manuelle,3.0,ww au maroc,non,bon,False,False,False,False,False,68000
hyundai,accent,2020,155000,diesel,6,automatique,5.0,ww au maroc,oui,bon,True,True,True,True,True,140000
mercedes-benz,190,1992,7500,diesel,9,--,5.0,dédouanée,non,excellent,False,False,False,False,False,60000
kia,sorento,2008,225000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,True,False,True,False,False,78000
peugeot,407,2006,225000,diesel,8,automatique,5.0,dédouanée,non,trés bon,True,True,True,True,True,74000
fiat,doblo,2012,32500,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,False,False,False,True,77000
nissan,juke,2019,22500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,False,158000
skoda,superb,2012,225000,diesel,8,automatique,5.0,ww au maroc,non,trés bon,True,True,True,True,False,120000
peugeot,308,2012,155000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,False,False,False,False,False,92000
skoda,octavia,2017,97500,diesel,8,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,176000
citroen,c1,2008,67500,diesel,6,manuelle,5.0,dédouanée,oui,excellent,False,False,False,False,False,60000
mercedes-benz,classe c,2008,155000,diesel,12,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,120000
hyundai,i 30,2016,115000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,138000
volkswagen,golf 5,2008,225000,diesel,8,automatique,5.0,dédouanée,oui,trés bon,True,True,True,True,True,95000
volkswagen,passat cc,2009,275000,diesel,8,manuelle,5.0,ww au maroc,non,bon,True,True,True,True,True,122000
mercedes-benz,220,2002,275000,diesel,9,automatique,5.0,dédouanée,non spécifié,excellent,True,True,True,False,True,76000
renault,clio,2016,185000,diesel,5,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,93000
dacia,dokker,2020,52500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,False,True,155000
peugeot,partner,2016,82500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,130000
ford,focus,2012,2500,diesel,6,manuelle,5.0,non spécifié,non spécifié,trés bon,False,False,False,False,False,120000
peugeot,2008,2019,37500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,False,True,165000
fiat,tipo,2019,72500,diesel,5,manuelle,5.0,ww au maroc,non,excellent,False,True,True,True,True,98000
hyundai,i 40,2014,135000,diesel,7,automatique,5.0,importée neuve,oui,excellent,False,False,False,False,False,160000
renault,megane 4,2017,115000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,188000
volkswagen,jetta,2016,105000,diesel,6,automatique,5.0,importée neuve,non,excellent,True,True,True,True,True,160000
renault,clio,2017,125000,diesel,6,manuelle,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,97000
ford,fiesta,2013,115000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,True,True,92000
land rover,defender,1993,275000,diesel,10,manuelle,3.0,non spécifié,non spécifié,bon,False,False,False,False,False,82000
volkswagen,passat cc,2009,225000,diesel,8,automatique,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,150000
renault,kangoo,2014,185000,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,False,False,False,False,False,95000
suzuki,celerio,2015,105000,essence,6,manuelle,5.0,ww au maroc,non,trés bon,False,False,False,False,False,60000
dacia,dokker,2019,62500,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,True,True,True,True,False,125000
fiat,panda,2016,135000,essence,5,manuelle,5.0,non spécifié,non spécifié,bon,False,False,False,False,False,72000
renault,kadjar,2016,125000,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,True,True,True,False,True,170000
skoda,octavia,2016,225000,diesel,8,manuelle,5.0,ww au maroc,oui,trés bon,True,True,False,False,False,165000
kia,sportage,2008,195000,diesel,8,manuelle,5.0,ww au maroc,oui,non spécifié,True,False,True,True,True,80000
renault,clio,2017,62500,diesel,6,automatique,5.0,ww au maroc,oui,excellent,False,False,False,False,False,125000
citroen,berlingo,2019,72500,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,True,True,False,False,True,150000
fiat,doblo,2016,105000,diesel,5,manuelle,5.0,ww au maroc,non,trés bon,True,False,True,True,True,79000
fiat,fiorino,2019,82500,diesel,5,manuelle,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,102000
renault,kadjar,2016,115000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,175000
volkswagen,passat,2005,275000,diesel,8,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,79000
toyota,corolla,2008,275000,diesel,8,manuelle,5.0,ww au maroc,non,bon,True,True,True,False,True,80000
fiat,tipo,2021,52500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,125000
volkswagen,passat cc,2017,155000,diesel,8,automatique,5.0,non spécifié,non,excellent,True,True,True,True,True,195000
volkswagen,touran,2016,225000,diesel,6,automatique,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,197000
peugeot,bipper,2012,225000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,trés bon,True,True,True,False,True,74000
