,Lien,Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
44,https://www.avito.ma/fr/autre_secteur/voitures/ALFA_ROMEO_159_2_4_JTDM_49074417.htm,Kénitra,Autre secteur,Alfa Romeo,159,2007,200 000 - 249 999,Diesel,11,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,72000
45,https://www.avito.ma/fr/casablanca/voitures/Nissan_qachqai__49074397.htm,Casablanca,,Nissan,Qashqai,2009,250 000 - 299 999,Diesel,6,Manuelle,5.0,Dédouanée,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105000
46,https://www.avito.ma/fr/hay_salam/voitures/Partner_49074388.htm,Salé,Hay Salam,Peugeot,Partner,2005,200 000 - 249 999,Diesel,7,Manuelle,5.0,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60000
47,https://www.avito.ma/fr/hassan/voitures/HYUNDAI_IX35_49074363.htm,Rabat,Hassan,Hyundai,ix 35,2012,170 000 - 179 999,Diesel,7,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,140000
48,https://www.avito.ma/fr/errachidia/voitures/peugeot_208_diesel__49074314.htm,Errachidia,,Peugeot,208,2015,50 000 - 54 999,Diesel,6,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110000
49,https://www.avito.ma/fr/centre_ville/voitures/MERCEDES_GLK_220_CDI_AUTOMATIQUE_49074127.htm,Temara,Centre Ville,Mercedes-Benz,Classe CLK,2010,200 000 - 249 999,Diesel,9,Automatique,5.0,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,170000
50,https://www.avito.ma/fr/autre_secteur/voitures/Vw_polo_essence__49074119.htm,Meknès,Autre secteur,Volkswagen,Polo,2012,130 000 - 139 999,Essence,7,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,84000
51,https://www.avito.ma/fr/jorf_el_melha/voitures/Audi_A4_49074111.htm,Jorf El Melha,,Audi,A4,2015,10 000 - 14 999,Diesel,8,Manuelle,5.0,Dédouanée,Oui,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,128000
52,https://www.avito.ma/fr/casablanca/voitures/seat_ibiza_49073926.htm,Casablanca,,Seat,Ibiza,2010,170 000 - 179 999,Essence,7,Manuelle,5.0,,,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,67000
53,https://www.avito.ma/fr/casablanca/voitures/hyundai_i35_49073782.htm,Casablanca,,Hyundai,ix 35,2012,100 000 - 109 999,Diesel,8,Manuelle,5.0,WW au Maroc,Non,Excellent,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,123000
54,https://www.avito.ma/fr/sal%C3%A9/voitures/VW_PASSAT_CC__49073769.htm,Salé,,Volkswagen,PASSAT CC,2014,190 000 - 199 999,Diesel,8,Manuelle,5.0,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155000
55,https://www.avito.ma/fr/marrakech/voitures/GOLF_4_49073722.htm,Marrakech,,Volkswagen,GOLF 4,2001,110 000 - 119 999,Diesel,8,Manuelle,5.0,Dédouanée,Non,Très bon,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,60600
56,https://www.avito.ma/fr/oujda/voitures/Mercedes_49073669.htm,Oujda,,Mercedes-Benz,Classe C,2004,200 000 - 249 999,Diesel,9,Manuelle,5.0,Dédouanée,Non,Bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,108000
57,https://www.avito.ma/fr/hay_riad/voitures/Citro%C3%ABn_c4__49073605.htm,Rabat,Hay Riad,Citroen,C4,2009,160 000 - 169 999,Diesel,6,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75000
58,https://www.avito.ma/fr/zagora/voitures/Peugeot__2008_49073498.htm,Zagora,,Peugeot,2008,2015,170 000 - 179 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000
59,https://www.avito.ma/fr/el_jadida/voitures/Renault_49073424.htm,El Jadida,,Renault,Clio,2016,95 000 - 99 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,98000
60,https://www.avito.ma/fr/mekn%C3%A8s/voitures/Renault_49073404.htm,Meknès,,Renault,Clio,2017,5 000 - 9 999,Diesel,6,--,,,Oui,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120000
